station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LNS,2022-01-01 23:37,54.00,52.00,92.92,80.00,5.00,0.03,29.65,null,3.00,null,OVC,null,null,null,400.00,null,null,null,-RA BR,null,null,null,null,null,null,54.00,KLNS 012337Z 08005KT 3SM -RA BR OVC004 12/11 A2965 RMK AO2 CIG 003V008 P0003 T01220111,null
LNS,2022-01-01 23:53,54.00,52.00,92.92,80.00,6.00,0.08,29.64,1003.60,2.50,null,OVC,null,null,null,400.00,null,null,null,RA BR,null,null,null,null,null,null,54.00,KLNS 012353Z 08006KT 2 1/2SM RA BR OVC004 12/11 A2964 RMK AO2 SLP036 P0008 60019 T01220111 10128 20122 58014,null
LNS,2022-01-02 00:01,54.00,52.00,92.92,90.00,6.00,T,29.63,null,4.00,null,OVC,null,null,null,400.00,null,null,null,-RA BR,null,null,null,null,null,null,54.00,KLNS 020001Z 09006KT 4SM -RA BR OVC004 12/11 A2963 RMK AO2 P0000 T01220111,null
LNS,2022-01-02 00:53,55.00,51.10,86.66,10.00,11.00,0.03,29.61,1002.60,6.00,null,OVC,null,null,null,400.00,null,null,null,-RA BR,null,null,null,null,null,null,55.00,KLNS 020053Z 01011KT 6SM -RA BR OVC004 13/11 A2961 RMK AO2 SLP026 P0003 T01280106,null
LNS,2022-01-02 01:06,54.00,51.10,89.88,10.00,13.00,0.15,29.61,null,1.75,null,BKN,OVC,null,null,400.00,1000.00,null,null,+RA BR,null,null,null,null,null,null,54.00,KLNS 020106Z 01013KT 1 3/4SM +RA BR BKN004 OVC010 12/11 A2961 RMK AO2 P0015 T01220106,null
LNS,2022-01-02 01:10,54.00,51.10,89.88,10.00,12.00,0.19,29.62,null,2.00,null,SCT,OVC,null,null,400.00,1300.00,null,null,+RA BR,null,null,null,null,null,null,54.00,KLNS 020110Z 01012KT 2SM +RA BR SCT004 OVC013 12/11 A2962 RMK AO2 VIS 1 1/4V3 P0019 T01220106,null
LNS,2022-01-02 01:21,55.00,52.00,89.59,360.00,10.00,0.22,29.62,null,4.00,null,FEW,OVC,null,null,400.00,1500.00,null,null,RA BR,null,null,null,null,null,null,55.00,KLNS 020121Z 36010KT 4SM RA BR FEW004 OVC015 13/11 A2962 RMK AO2 P0022 T01280111,null
LNS,2022-01-02 01:53,54.00,50.00,86.29,40.00,12.00,0.24,29.61,1002.50,10.00,null,BKN,OVC,null,null,1900.00,7500.00,null,null,-RA,null,null,null,null,null,null,54.00,KLNS 020153Z 04012KT 10SM -RA BKN019 OVC075 12/10 A2961 RMK AO2 PRESFR SLP025 P0024 T01220100,null
LNS,2022-01-02 02:00,54.00,50.00,86.29,40.00,11.00,T,29.61,null,10.00,null,SCT,OVC,null,null,1900.00,7500.00,null,null,null,null,null,null,null,null,null,54.00,KLNS 020200Z 04011KT 10SM SCT019 OVC075 12/10 A2961 RMK AO2 WSHFT 0144 RAE0158 P0000 T01220100,null
LNS,2022-01-02 02:53,54.00,50.00,86.29,70.00,7.00,T,29.59,1002.00,10.00,null,FEW,SCT,BKN,null,6500.00,9000.00,11000.00,null,-RA,null,null,null,null,null,null,54.00,KLNS 020253Z 07007KT 10SM -RA FEW065 SCT090 BKN110 12/10 A2959 RMK AO2 WSHFT 0144 RAE0158B53 SLP020 P0000 60027 T01220100 56016,null
LNS,2022-01-02 03:53,53.10,50.00,89.18,40.00,3.00,T,29.58,1001.40,10.00,null,BKN,BKN,null,null,2300.00,11000.00,null,null,null,null,null,null,null,null,null,53.10,KLNS 020353Z 04003KT 10SM BKN023 BKN110 12/10 A2958 RMK AO2 RAE40 SLP014 P0000 T01170100,null
LNS,2022-01-02 04:26,53.10,48.90,85.59,150.00,8.00,0.00,29.55,null,10.00,null,SCT,BKN,OVC,null,2200.00,9000.00,11000.00,null,null,null,null,null,null,null,null,53.10,KLNS 020426Z AUTO 15008KT 10SM SCT022 BKN090 OVC110 12/09 A2955 RMK AO2 PRESFR T01170094,null
LNS,2022-01-02 04:53,53.10,50.00,89.18,130.00,6.00,0.01,29.55,1000.50,10.00,null,FEW,OVC,null,null,8000.00,11000.00,null,null,null,null,null,null,null,null,null,53.10,KLNS 020453Z AUTO 13006KT 10SM FEW080 OVC110 12/10 A2955 RMK AO2 RAB28E42 SLP005 P0001 T01170100 401280100,null
LNS,2022-01-02 05:15,53.10,50.00,89.18,320.00,6.00,0.00,29.60,null,10.00,null,SCT,OVC,null,null,900.00,11000.00,null,null,null,null,null,null,null,null,null,53.10,KLNS 020515Z AUTO 32006KT 10SM SCT009 OVC110 12/10 A2960 RMK AO2 T01170100,null
LNS,2022-01-02 05:24,53.10,50.00,89.18,300.00,3.00,T,29.59,null,10.00,null,BKN,OVC,null,null,900.00,11000.00,null,null,-RA,null,null,null,null,null,null,53.10,KLNS 020524Z AUTO 30003KT 10SM -RA BKN009 OVC110 12/10 A2959 RMK AO2 RAB24 P0000 T01170100,null
LNS,2022-01-02 05:53,53.10,50.00,89.18,0.00,0.00,T,29.57,1001.20,9.00,null,OVC,null,null,null,700.00,null,null,null,-RA,null,null,null,null,null,null,53.10,KLNS 020553Z AUTO 00000KT 9SM -RA OVC007 12/10 A2957 RMK AO2 RAB24 SLP012 P0000 60028 T01170100 10128 20111 55008,null
LNS,2022-01-02 06:53,53.10,50.00,89.18,250.00,3.00,0.01,29.57,1001.30,5.00,null,OVC,null,null,null,600.00,null,null,null,BR,null,null,null,null,null,null,53.10,KLNS 020653Z AUTO 25003KT 5SM BR OVC006 12/10 A2957 RMK AO2 RAE35 SLP013 P0001 T01170100,null
LNS,2022-01-02 07:53,53.10,50.00,89.18,310.00,6.00,0.01,29.61,1002.50,9.00,null,OVC,null,null,null,700.00,null,null,null,-RA,null,null,null,null,null,null,53.10,KLNS 020753Z AUTO 31006KT 9SM -RA OVC007 12/10 A2961 RMK AO2 RAB03 SLP025 P0001 T01170100,null
LNS,2022-01-02 08:27,53.10,48.90,85.59,180.00,4.00,0.01,29.57,null,6.00,null,SCT,OVC,null,null,900.00,10000.00,null,null,-RA BR,null,null,null,null,null,null,53.10,KLNS 020827Z AUTO 18004KT 6SM -RA BR SCT009 OVC100 12/09 A2957 RMK AO2 P0001 T01170094,null
LNS,2022-01-02 08:53,53.10,50.00,89.18,200.00,4.00,0.03,29.58,1001.70,5.00,null,FEW,OVC,null,null,700.00,10000.00,null,null,-RA BR,null,null,null,null,null,null,53.10,KLNS 020853Z AUTO 20004KT 5SM -RA BR FEW007 OVC100 12/10 A2958 RMK AO2 SLP017 P0003 60005 T01170100 50005,null
LNS,2022-01-02 09:46,52.00,48.90,89.13,0.00,0.00,0.02,29.59,null,2.50,null,FEW,BKN,OVC,null,200.00,2900.00,10000.00,null,-RA BR,null,null,null,null,null,null,52.00,KLNS 020946Z AUTO 00000KT 2 1/2SM -RA BR FEW002 BKN029 OVC100 11/09 A2959 RMK AO2 P0002 T01110094,null
LNS,2022-01-02 09:53,52.00,48.90,89.13,0.00,0.00,0.02,29.57,1001.40,1.00,null,SCT,BKN,OVC,null,200.00,1400.00,10000.00,null,-RA BR,null,null,null,null,null,null,52.00,KLNS 020953Z AUTO 00000KT 1SM -RA BR SCT002 BKN014 OVC100 11/09 A2957 RMK AO2 SLP014 P0002 T01110094,null
LNS,2022-01-02 09:58,52.00,48.90,89.13,0.00,0.00,T,29.57,null,0.75,null,FEW,BKN,OVC,null,200.00,800.00,10000.00,null,-RA BR,null,null,null,null,null,null,52.00,KLNS 020958Z AUTO 00000KT 3/4SM -RA BR FEW002 BKN008 OVC100 11/09 A2957 RMK AO2 P0000 T01110094,null
LNS,2022-01-02 10:08,51.10,48.90,92.14,140.00,5.00,T,29.54,null,0.75,null,VV ,null,null,null,300.00,null,null,null,BR,null,null,null,null,null,null,51.10,KLNS 021008Z AUTO 14005KT 3/4SM BR VV003 11/09 A2954 RMK AO2 RAE02 PRESFR P0000 T01060094,null
LNS,2022-01-02 10:21,52.00,48.90,89.13,0.00,0.00,T,29.57,null,2.00,null,OVC,null,null,null,300.00,null,null,null,BR,null,null,null,null,null,null,52.00,KLNS 021021Z AUTO 00000KT 2SM BR OVC003 11/09 A2957 RMK AO2 RAE02 P0000 T01110094,null
LNS,2022-01-02 10:30,52.00,50.00,92.86,260.00,3.00,T,29.59,null,3.00,null,OVC,null,null,null,200.00,null,null,null,BR,null,null,null,null,null,null,52.00,KLNS 021030Z AUTO 26003KT 3SM BR OVC002 11/10 A2959 RMK AO2 RAE02 PRESRR P0000 T01110100,null
LNS,2022-01-02 10:50,51.80,48.20,87.47,180.00,4.00,T,29.57,null,2.50,null,OVC,null,null,null,200.00,null,null,null,BR,null,null,null,null,null,null,51.80,KLNS 021050Z 18004KT 2 1/2SM BR OVC002 11/09 A2957 RMK AO2 RAE02 P0000,null
LNS,2022-01-02 10:53,52.00,50.00,92.86,190.00,5.00,T,29.57,1001.30,2.50,null,OVC,null,null,null,200.00,null,null,null,BR,null,null,null,null,null,null,52.00,KLNS 021053Z 19005KT 2 1/2SM BR OVC002 11/10 A2957 RMK AO2 RAE02 SLP013 P0000 T01110100,null
